PULocationID,hour,day_of_week,is_weekend,predicted_total,predicted_long,predicted_long_rate,LocationID,Borough,Zone,recommendation_score
108,4,3,0,0.13448653445035877,0.09934716829826408,0.7387146133573305,108,Brooklyn,Gravesend,0.09934716829826408
21,4,3,0,0.2313670892781919,0.09934716829826408,0.42939196152833436,21,Brooklyn,Bensonhurst East,0.09934716829826408
73,4,3,0,0.0870079525082632,0.07321329383239328,0.8414551971607442,73,Queens,East Flushing,0.07321329383239328
46,4,3,0,0.0870079525082632,0.07321329383239328,0.8414551971607442,46,Bronx,City Island,0.07321329383239328
98,4,3,0,0.17957436684521053,0.07321329383239328,0.4077045912432572,98,Queens,Fresh Meadows,0.07321329383239328
67,4,3,0,0.11034970396843043,0.07321329383239328,0.6634661553178124,67,Brooklyn,Dyker Heights,0.07321329383239328
94,4,3,0,0.17957436684521053,0.07321329383239328,0.4077045912432572,94,Bronx,Fordham South,0.07321329383239328
59,4,3,0,0.0870079525082632,0.07321329383239328,0.8414551971607442,59,Bronx,Crotona Park,0.07321329383239328
102,4,3,0,0.5186662222506123,0.07321329383239328,0.14115685713001305,102,Queens,Glendale,0.07321329383239328
123,4,3,0,0.17957436684521053,0.07321329383239328,0.4077045912432572,123,Brooklyn,Homecrest,0.07321329383239328
214,4,3,0,0.0870079525082632,0.07321329383239328,0.8414551971607442,214,Staten Island,South Beach/Dongan Hills,0.07321329383239328
175,4,3,0,0.11034970396843043,0.07321329383239328,0.6634661553178124,175,Queens,Oakland Gardens,0.07321329383239328
207,4,3,0,0.20458128791145944,0.07321329383239328,0.3578689653380186,207,Queens,Saint Michaels Cemetery/Woodside,0.07321329383239328
184,4,3,0,0.0870079525082632,0.07321329383239328,0.8414551971607442,184,Bronx,Pelham Bay Park,0.07321329383239328
139,4,3,0,0.11034970396843043,0.07321329383239328,0.6634661553178124,139,Queens,Laurelton,0.07321329383239328
202,4,3,0,0.3283510782654325,0.07321329383239328,0.22297260060528595,202,Manhattan,Roosevelt Island,0.07321329383239328
165,4,3,0,0.0870079525082632,0.07321329383239328,0.8414551971607442,165,Brooklyn,Midwood,0.07321329383239328
120,4,3,0,0.0870079525082632,0.07321329383239328,0.8414551971607442,120,Manhattan,Highbridge Park,0.07321329383239328
192,4,3,0,0.2313670892781919,0.07321329383239328,0.3164378047923784,192,Queens,Queensboro Hill,0.07321329383239328
241,4,3,0,0.2313670892781919,0.043984899522350226,0.19010871278007704,241,Bronx,Van Cortlandt Village,0.043984899522350226
257,4,3,0,0.0870079525082632,0.043984899522350226,0.5055273484130426,257,Brooklyn,Windsor Terrace,0.043984899522350226
240,4,3,0,0.11034970396843043,0.043984899522350226,0.3985955371020634,240,Bronx,Van Cortlandt Park,0.043984899522350226
194,4,3,0,0.0870079525082632,0.04042275252662741,0.4645868723642064,194,Manhattan,Randalls Island,0.04042275252662741
53,4,3,0,0.0870079525082632,0.04042275252662741,0.4645868723642064,53,Queens,College Point,0.04042275252662741
172,4,3,0,0.0870079525082632,0.04042275252662741,0.4645868723642064,172,Staten Island,New Dorp/Midland Beach,0.04042275252662741
58,4,3,0,0.0870079525082632,0.04042275252662741,0.4645868723642064,58,Bronx,Country Club,0.04042275252662741
